#;Město;Okres
159;Dubí;okres Teplice
160;Stříbro;okres Tachov
161;Hořovice;okres Beroun
162;Semily;okres Semily
163;Bystřice pod Hostýnem;okres Kroměříž
164;Hrádek nad Nisou;okres Liberec
165;Lipník nad Bečvou;okres Přerov
166;Milevsko;okres Písek
167;Šlapanice;okres Brno-venkov
168;Benátky nad Jizerou;okres Mladá Boleslav
169;Bystřice nad Pernštejnem;okres Žďár nad Sázavou
170;Rychvald;okres Karviná
171;Týn nad Vltavou;okres České Budějovice
172;Rýmařov;okres Bruntál
173;Nejdek;okres Karlovy Vary
174;Černošice;okres Praha-západ
175;Mikulov;okres Břeclav
176;Kaplice;okres Český Krumlov
177;Úvaly;okres Praha-východ
178;Český Brod;okres Kolín
179;Vratimov;okres Ostrava-město
180;Bílovec;okres Nový Jičín
181;Petřvald;okres Karviná
182;Vodňany;okres Strakonice
183;Frýdlant;okres Liberec
184;Odry;okres Nový Jičín
185;Vimperk;okres Prachatice
186;Slavkov u Brna;okres Vyškov
187;Nový Bydžov;okres Hradec Králové
188;Dačice;okres Jindřichův Hradec
189;Letovice;okres Blansko
190;Broumov;okres Náchod
191;Moravské Budějovice;okres Třebíč
192;Sezimovo Ústí;okres Tábor
193;Soběslav;okres Tábor
194;Napajedla;okres Zlín
195;Nýřany;okres Plzeň-sever
196;Bučovice;okres Vyškov
197;Přeštice;okres Plzeň-jih
198;Rosice;okres Brno-venkov
199;Sedlčany;okres Příbram
200;Holice;okres Pardubice
201;Kravaře;okres Opava
202;Blatná;okres Strakonice
203;Šenov;okres Ostrava-město
204;Staré Město;okres Uherské Hradiště
205;Odolena Voda;okres Praha-východ
206;Dobruška;okres Rychnov nad Kněžnou
207;Veselí nad Lužnicí;okres Tábor
208;Dobřany;okres Plzeň-jih
209;Kraslice;okres Sokolov
210;Mníšek pod Brdy;okres Praha-západ
211;Hulín;okres Kroměříž
212;Letohrad;okres Ústí nad Orlicí
213;Světlá nad Sázavou;okres Havlíčkův Brod
214;Hustopeče;okres Břeclav
215;Mimoň;okres Česká Lípa
216;Chrastava;okres Liberec
217;Podbořany;okres Louny
218;Kostelec nad Orlicí;okres Rychnov nad Kněžnou
219;Dubňany;okres Hodonín
220;Slavičín;okres Zlín
221;Týniště nad Orlicí;okres Rychnov nad Kněžnou
222;Pohořelice;okres Brno-venkov
223;Hronov;okres Náchod
224;Železný Brod;okres Jablonec nad Nisou
225;Tanvald;okres Jablonec nad Nisou
226;Rousínov;okres Vyškov
227;Třebechovice pod Orebem;okres Hradec Králové
228;Žamberk;okres Ústí nad Orlicí
229;Třešť;okres Jihlava
230;Modřice;okres Brno-venkov
231;Týnec nad Sázavou;okres Benešov
232;Kojetín;okres Přerov
233;Nové Strašecí;okres Rakovník
234;Moravský Krumlov;okres Znojmo
235;Holýšov;okres Plzeň-jih
236;Šluknov;okres Děčín
237;Hluboká nad Vltavou;okres České Budějovice
238;Lomnice nad Popelkou;okres Semily
239;Chlumec nad Cidlinou;okres Hradec Králové
240;Františkovy Lázně;okres Cheb
241;Kunovice;okres Uherské Hradiště
242;Zubří;okres Vsetín
243;Vítkov;okres Opava
244;Rudná;okres Praha-západ
245;Planá;okres Tachov
246;Velká Bíteš;okres Žďár nad Sázavou
247;Fulnek;okres Nový Jičín
248;Hradec nad Moravicí;okres Opava
249;Úpice;okres Trutnov
250;Starý Plzenec;okres Plzeň-město
251;Brumov-Bylnice;okres Zlín
252;Jilemnice;okres Semily
253;Bakov nad Jizerou;okres Mladá Boleslav
254;Stochov;okres Kladno
255;Strážnice;okres Hodonín
256;Horní Slavkov;okres Sokolov
257;Unhošť;okres Kladno
258;Polná;okres Jihlava
259;Trhové Sviny;okres České Budějovice
260;Jílové u Prahy;okres Praha-západ
261;Jablunkov;okres Frýdek-Místek
262;Kosmonosy;okres Mladá Boleslav
263;Kdyně;okres Domažlice
264;Telč;okres Jihlava
265;Doksy;okres Česká Lípa
266;Horažďovice;okres Klatovy
267;Třemošná;okres Plzeň-sever
268;Horšovský Týn;okres Domažlice
269;Česká Kamenice;okres Děčín
270;Luhačovice;okres Zlín
271;Skuteč;okres Chrudim
272;Česká Skalice;okres Náchod
273;Nýrsko;okres Klatovy
274;Chýně;okres Praha-západ
275;Heřmanův Městec;okres Chrudim
276;Jílové;okres Děčín
277;Bor;okres Tachov
278;Pečky;okres Kolín
279;Oslavany;okres Brno-venkov
280;Valašské Klobouky;okres Zlín
281;Vizovice;okres Zlín
282;Bechyně;okres Tábor
283;Bělá pod Bezdězem;okres Mladá Boleslav
284;Náměšť nad Oslavou;okres Třebíč
285;Protivín;okres Písek
286;Votice;okres Benešov
287;Zruč nad Sázavou;okres Kutná Hora
288;Ledeč nad Sázavou;okres Havlíčkův Brod
289;Pacov;okres Pelhřimov
290;Vrbno pod Pradědem;okres Bruntál
291;Bystřice;okres Benešov
292;Habartov;okres Sokolov
293;Lišov;okres České Budějovice
294;Postoloprty;okres Louny
295;Chropyně;okres Kroměříž
296;Adamov;okres Blansko
297;Planá nad Lužnicí;okres Tábor
298;Meziboří;okres Most
299;Vamberk;okres Rychnov nad Kněžnou
300;Bzenec;okres Hodonín
301;Cvikov;okres Česká Lípa
302;Kynšperk nad Ohří;okres Sokolov
303;Osek;okres Teplice
304;Vracov;okres Hodonín
305;Kostelec nad Labem;okres Mělník
306;Klimkovice;okres Ostrava-město
307;Sezemice;okres Pardubice
308;Bojkovice;okres Uherské Hradiště
309;Nová Role;okres Karlovy Vary
310;Chlumec;okres Ústí nad Labem
311;Hluk;okres Uherské Hradiště
312;Rožmitál pod Třemšínem;okres Příbram
313;Uherský Ostroh;okres Uherské Hradiště
314;Blovice;okres Plzeň-jih
315;Borovany;okres České Budějovice
316;Brušperk;okres Frýdek-Místek
317;Slatiňany;okres Chrudim
318;Kostelec nad Černými lesy;okres Praha-východ
319;Mnichovice;okres Praha-východ
320;Hostinné;okres Trutnov
321;Rajhrad;okres Brno-venkov
322;Police nad Metují;okres Náchod
323;Zdice;okres Beroun
324;Králíky;okres Ústí nad Orlicí
325;Jaroměřice nad Rokytnou;okres Třebíč
326;Přibyslav;okres Havlíčkův Brod
327;Horní Bříza;okres Plzeň-sever
328;Buštěhrad;okres Kladno
329;Jemnice;okres Třebíč
330;Klecany;okres Praha-východ
331;Smržovka;okres Jablonec nad Nisou
332;Paskov;okres Frýdek-Místek
333;Dolní Benešov;okres Opava
334;Sázava;okres Benešov
335;Velešín;okres Český Krumlov
336;Velké Bílovice;okres Břeclav
337;Stráž pod Ralskem;okres Česká Lípa
338;Fryšták;okres Zlín
339;Brtnice;okres Jihlava
340;Kamenický Šenov;okres Česká Lípa
341;Velká Bystřice;okres Olomouc
342;Řevnice;okres Praha-západ
343;Dobřichovice;okres Praha-západ
344;Lom;okres Most
345;Větřní;okres Český Krumlov
346;Rájec-Jestřebí;okres Blansko
